nr,nz,l2_error,linf_error,nnz,solve_seconds
25,27,8.1041306041737852e-04,1.3527077361044739e-03,3050,0.00135725
49,53,1.9918615502857503e-04,3.3893991695413688e-04,12338,0.00347983
97,105,4.9361295476384724e-05,8.4788774887437489e-05,49634,0.01967208
